 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 295  | Gloom              |  0.00866% | 65     |  0.013% | 23     |  0.010% | 
 | 296  | Dewgong            |  0.00848% | 151    |  0.031% | 71     |  0.031% | 
 | 297  | Crawdaunt          |  0.00839% | 111    |  0.023% | 50     |  0.022% | 
 | 298  | Sandslash-Alola    |  0.00830% | 369    |  0.075% | 164    |  0.071% | 
 | 299  | Hawlucha           |  0.00827% | 131    |  0.027% | 44     |  0.019% | 
 | 300  | Eelektross         |  0.00824% | 158    |  0.032% | 69     |  0.030% | 
 | 301  | Decidueye          |  0.00823% | 133    |  0.027% | 53     |  0.023% | 
 | 302  | Leafeon            |  0.00800% | 109    |  0.022% | 37     |  0.016% | 
 | 303  | Azelf              |  0.00792% | 156    |  0.032% | 55     |  0.024% | 
 | 304  | Avalugg-Hisui      |  0.00790% | 114    |  0.023% | 35     |  0.015% | 
 | 305  | Flygon             |  0.00788% | 144    |  0.029% | 64     |  0.028% | 
 | 306  | Stantler           |  0.00764% | 53     |  0.011% | 20     |  0.009% | 
 | 307  | Jolteon            |  0.00754% | 158    |  0.032% | 57     |  0.025% | 
 | 308  | Mesprit            |  0.00743% | 43     |  0.009% | 19     |  0.008% | 
 | 309  | Luxray             |  0.00731% | 114    |  0.023% | 39     |  0.017% | 
 | 310  | Oricorio-Pom-Pom   |  0.00730% | 78     |  0.016% | 35     |  0.015% | 
 | 311  | Espeon             |  0.00721% | 440    |  0.089% | 186    |  0.081% | 
 | 312  | Goodra             |  0.00716% | 366    |  0.074% | 151    |  0.065% | 
 | 313  | Skarmory           |  0.00710% | 105    |  0.021% | 39     |  0.017% | 
 | 314  | Wigglytuff         |  0.00704% | 119    |  0.024% | 40     |  0.017% | 
 | 315  | Drednaw            |  0.00699% | 110    |  0.022% | 63     |  0.027% | 
 | 316  | Torracat           |  0.00686% | 65     |  0.013% | 35     |  0.015% | 
 | 317  | Cloyster           |  0.00681% | 221    |  0.045% | 99     |  0.043% | 
