| Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 303  | Electrode-Hisui    |  0.00027% | 157    |  0.032% | 50     |  0.022% | 
 | 304  | Toxtricity         |  0.00027% | 248    |  0.050% | 117    |  0.051% | 
 | 305  | Cloyster           |  0.00026% | 221    |  0.045% | 99     |  0.043% | 
 | 306  | Ambipom            |  0.00022% | 456    |  0.092% | 195    |  0.084% | 
 | 307  | Seviper            |  0.00021% | 5      |  0.001% | 3      |  0.001% | 
 | 308  | Dusknoir           |  0.00020% | 227    |  0.046% | 71     |  0.031% | 
 | 309  | Inteleon           |  0.00020% | 265    |  0.054% | 103    |  0.045% | 
 | 310  | Floatzel           |  0.00019% | 120    |  0.024% | 48     |  0.021% | 
 | 311  | Duraludon          |  0.00019% | 216    |  0.044% | 87     |  0.038% | 
 | 312  | Magikarp           |  0.00018% | 6      |  0.001% | 0      |  0.000% | 
 | 313  | Typhlosion         |  0.00018% | 180    |  0.037% | 88     |  0.038% | 
 | 314  | Noivern            |  0.00017% | 101    |  0.020% | 31     |  0.013% | 
 | 315  | Sentret            |  0.00016% | 15     |  0.003% | 8      |  0.003% | 
 | 316  | Drednaw            |  0.00016% | 110    |  0.022% | 63     |  0.027% | 
 | 317  | Lycanroc-Dusk      |  0.00015% | 161    |  0.033% | 62     |  0.027% | 
 | 318  | Dipplin            |  0.00014% | 92     |  0.019% | 31     |  0.013% | 
