 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 | 231  | Squawkabilly       |  0.07319% | 2312   |  0.073% | 1071   |  0.074% | 
 | 232  | Camerupt           |  0.07304% | 2307   |  0.073% | 1189   |  0.083% | 
 | 233  | Wigglytuff         |  0.07243% | 2288   |  0.072% | 937    |  0.065% | 
 | 234  | Chansey            |  0.07221% | 2281   |  0.072% | 985    |  0.068% | 
 | 235  | Lycanroc-Dusk      |  0.07063% | 2231   |  0.071% | 1000   |  0.069% | 
 | 236  | Gothorita          |  0.06895% | 2178   |  0.069% | 582    |  0.040% | 
 | 237  | Mismagius          |  0.06857% | 2166   |  0.069% | 710    |  0.049% | 
 | 238  | Cacturne           |  0.06566% | 2074   |  0.066% | 877    |  0.061% | 
 | 239  | Muk                |  0.06385% | 2017   |  0.064% | 734    |  0.051% | 
 | 240  | Cryogonal          |  0.06332% | 2000   |  0.063% | 711    |  0.049% | 
 | 241  | Primeape           |  0.06145% | 1941   |  0.061% | 834    |  0.058% | 
 | 242  | Samurott           |  0.06101% | 1927   |  0.061% | 870    |  0.060% | 
 | 243  | Polteageist        |  0.06034% | 1906   |  0.060% | 847    |  0.059% | 
 | 244  | Lycanroc-Midnight  |  0.05904% | 1865   |  0.059% | 983    |  0.068% | 
 | 245  | Glalie             |  0.05755% | 1818   |  0.058% | 802    |  0.056% | 
 | 246  | Electrode          |  0.05325% | 1682   |  0.053% | 698    |  0.048% | 
 | 247  | Tropius            |  0.05319% | 1680   |  0.053% | 666    |  0.046% | 
 | 248  | Honchkrow          |  0.05230% | 1652   |  0.052% | 780    |  0.054% | 
 | 249  | Gogoat             |  0.05198% | 1642   |  0.052% | 696    |  0.048% | 
 | 250  | Flapple            |  0.05186% | 1638   |  0.052% | 756    |  0.053% | 
 | 251  | Alomomola          |  0.05049% | 1595   |  0.050% | 496    |  0.034% | 
 | 252  | Donphan            |  0.04977% | 1572   |  0.050% | 719    |  0.050% | 
 | 253  | Rotom-Frost        |  0.04948% | 1563   |  0.049% | 821    |  0.057% | 
 | 254  | Scyther            |  0.04853% | 1533   |  0.049% | 537    |  0.037% | 
 | 255  | Quagsire           |  0.04739% | 1497   |  0.047% | 659    |  0.046% | 
 | 256  | Riolu              |  0.04489% | 1418   |  0.045% | 548    |  0.038% | 
 | 257  | Zoroark            |  0.04394% | 1388   |  0.044% | 324    |  0.023% | 
 | 258  | Slowpoke           |  0.04356% | 1376   |  0.044% | 462    |  0.032% | 
 | 259  | Mabosstiff         |  0.04176% | 1319   |  0.042% | 614    |  0.043% | 
 | 260  | Grumpig            |  0.04055% | 1281   |  0.041% | 459    |  0.032% | 
 | 261  | Dedenne            |  0.03992% | 1261   |  0.040% | 559    |  0.039% | 
 | 262  | Dunsparce          |  0.03992% | 1261   |  0.040% | 585    |  0.041% | 
 | 263  | Jigglypuff         |  0.03862% | 1220   |  0.039% | 588    |  0.041% | 
 | 264  | Haunter            |  0.03831% | 1210   |  0.038% | 486    |  0.034% | 
 | 265  | Houndoom           |  0.03831% | 1210   |  0.038% | 372    |  0.026% | 
 | 266  | Dugtrio-Alola      |  0.03808% | 1203   |  0.038% | 527    |  0.037% | 
 | 267  | Sandaconda         |  0.03619% | 1143   |  0.036% | 558    |  0.039% | 
 | 268  | Spidops            |  0.03609% | 1140   |  0.036% | 364    |  0.025% | 
 | 269  | Banette            |  0.03577% | 1130   |  0.036% | 408    |  0.028% | 
 | 270  | Magneton           |  0.03565% | 1126   |  0.036% | 424    |  0.029% | 
 | 271  | Dugtrio            |  0.03463% | 1094   |  0.035% | 443    |  0.031% | 
 | 272  | Veluza             |  0.03444% | 1088   |  0.034% | 460    |  0.032% | 
 | 273  | Hypno              |  0.03422% | 1081   |  0.034% | 296    |  0.021% | 
 | 274  | Falinks            |  0.03349% | 1058   |  0.033% | 396    |  0.028% | 
 | 275  | Klawf              |  0.03318% | 1048   |  0.033% | 470    |  0.033% | 
 | 276  | Ursaring           |  0.03261% | 1030   |  0.033% | 467    |  0.032% | 
 | 277  | Pyroar             |  0.03220% | 1017   |  0.032% | 430    |  0.030% | 
 | 278  | Tauros             |  0.03188% | 1007   |  0.032% | 393    |  0.027% | 
 | 279  | Wugtrio            |  0.03042% | 961    |  0.030% | 455    |  0.032% | 
 | 280  | Sunflora           |  0.02916% | 921    |  0.029% | 382    |  0.027% | 
 | 281  | Zangoose           |  0.02814% | 889    |  0.028% | 433    |  0.030% | 
 | 282  | Passimian          |  0.02742% | 866    |  0.027% | 406    |  0.028% | 
 | 283  | Persian            |  0.02403% | 759    |  0.024% | 318    |  0.022% | 
 | 284  | Sliggoo-Hisui      |  0.02387% | 754    |  0.024% | 324    |  0.023% | 
 | 285  | Venomoth           |  0.02343% | 740    |  0.023% | 274    |  0.019% | 
 | 286  | Oricorio           |  0.02096% | 662    |  0.021% | 346    |  0.024% | 
 | 287  | Delibird           |  0.01918% | 606    |  0.019% | 202    |  0.014% | 
 | 288  | Skuntank           |  0.01874% | 592    |  0.019% | 299    |  0.021% | 
 | 289  | Sawsbuck           |  0.01824% | 576    |  0.018% | 226    |  0.016% | 
 | 290  | Sneasel-Hisui      |  0.01776% | 561    |  0.018% | 199    |  0.014% | 
 | 291  | Toedscool          |  0.01580% | 499    |  0.016% | 158    |  0.011% | 
 | 292  | Komala             |  0.01535% | 485    |  0.015% | 199    |  0.014% | 
 | 293  | Qwilfish           |  0.01501% | 474    |  0.015% | 209    |  0.015% | 
 | 294  | Sudowoodo          |  0.01456% | 460    |  0.015% | 216    |  0.015% | 
 | 295  | Whiscash           |  0.01444% | 456    |  0.014% | 233    |  0.016% | 
 | 296  | Seviper            |  0.01383% | 437    |  0.014% | 150    |  0.010% | 
 | 297  | Sneasel            |  0.01383% | 437    |  0.014% | 181    |  0.013% | 
 | 298  | Numel              |  0.01380% | 436    |  0.014% | 198    |  0.014% | 
 | 299  | Gumshoos           |  0.01380% | 436    |  0.014% | 224    |  0.016% | 
 | 300  | Oinkologne         |  0.01361% | 430    |  0.014% | 184    |  0.013% | 
 | 301  | Oinkologne-F       |  0.01355% | 428    |  0.014% | 182    |  0.013% | 
 | 302  | Swalot             |  0.01355% | 428    |  0.014% | 186    |  0.013% | 
 | 303  | Drowzee            |  0.01323% | 418    |  0.013% | 91     |  0.006% | 
 | 304  | Psyduck            |  0.01225% | 387    |  0.012% | 118    |  0.008% | 
 | 305  | Tauros-Paldea-Combat |  0.01190% | 376    |  0.012% | 112    |  0.008% | 
 | 306  | Sunkern            |  0.01140% | 360    |  0.011% | 130    |  0.009% | 
 | 307  | Basculin           |  0.01133% | 358    |  0.011% | 160    |  0.011% | 
 | 308  | Charmeleon         |  0.01124% | 355    |  0.011% | 182    |  0.013% | 
 | 309  | Vespiquen          |  0.01095% | 346    |  0.011% | 125    |  0.009% | 
 | 310  | Eelektrik          |  0.01042% | 329    |  0.010% | 156    |  0.011% | 
